hosting,count
"TIMOCOM GmbH AS24909",3
"ZNET AS21859",3
"Private Internet Hosting LTD AS213058",3
"Cybernetica AS AS208283",3
"Greysom Limited AS12678",3
"Zbridge Limited AS203298",3
"M-net Telekommunikations GmbH AS8767",3
"Teleone OU AS207568",3
"ZAO Hosting Telesystems AS31240",3
"Trans-IX B.V. AS30870",3
"Cloud Networks SIA AS44624",3
"aiticon GmbH AS203968",3
"Server Plan S.r.l. AS52030",3
"Softec S.P.A. AS15788",3
"ANT-CLOUD AS62587",3
"Nessus GmbH AS47692",3
"Aixit GmbH AS29551",3
"Telegrupp AS AS44839",3
"Milan Paessler AS207921",3
"Bayerische Motoren Werke Aktiengesellschaft AS8590",3
"bwin.party services (Austria) GmbH AS13008",3
"CLT-NIC AS10515",3
"IKGUL-26484 AS26484",3
"Plus.line AG AS12306",3
"KRKA, d.d.Novo mesto AS29015",3
"EXEA Sp. z o.o. AS60713",3
"APPLE-ENGINEERING AS714",3
"Xeon LLC AS56864",3
"CENTURYLINK-LEGACY-SAVVIS AS3561",3
"The Federal State Unitary Enterprise Russian Agency of the International Information RIA Nov AS44479",3
"FACEBOOK AS32934",3
"SWITCH-LTD AS23005",3
"Telefonbuch Verlag Hans Mueller GmbH & Co. KG AS12655",3
"Sentia Denmark A/S AS199213",3
"Host Europe GmbH AS20738",3
"MULTA-ASN1 AS35916",3
"Tellcom Iletisim Hizmetleri A.s. AS34984",3
"Ledl.net GmbH AS25575",3
"Simply Transit Ltd AS29550",3
"IT.Gate S.p.A. AS12779",3
"DEFENSE-NET AS55002",3
"Data Communication Business Group AS3462",3
"PlusServer GmbH AS5521",3
"TBS AS40703",3
"Global Village GmbH AS13039",3
"IOFLOOD AS53755",3
"Hostline, Uab AS198651",3
"Unitary enterprise A1 AS42772",3
"VERSIA Ltd AS8285",3
"AltusHost B.V. AS51430",3
"Liberty Global B.V. AS6830",3
"SUCURI-SEC AS30148",3
"Telia Company AB AS9167",3
"FOP Kazakov Oleksandr Oleksandrovich AS45045",3
"Fill Ltd. AS198966",2
"acens Technologies, S.L. AS16371",2
"EDNS AS16686",2
"ZAYO-6461 AS6461",2
"DigiRock, Inc. AS37907",2
"K Media Tech Ltd. AS210250",2
"SysEleven GmbH AS25291",2
"HASBRO AS32025",2
"Limitis s.r.l. AS50178",2
"UPCLOUDUSA AS25697",2
"iquer.net GmbH & Co KG AS201955",2
"xTom Limited AS3214",2
"SavMAN AB AS28854",2
"Henan Mobile Communications Co.,Ltd AS24445",2
"WEHOSTWEBSITES-COM AS30475",2
"DataHata Ltd AS56740",2
"UAB Blue Bridge AS42774",2
"MOACK.Co.LTD AS138195",2
"Keepit A/S AS9120",2
"O.m.c. Computers & Communications Ltd AS44709",2
"Cronyx Plus Ltd. AS8331",2
"Hi3G Access AB AS44034",2
"SpaceNet AG AS5539",2
"IWACOM Sp. z o.o. AS41508",2
"NettiTieto Oy AS61177",2
"FNH media KG AS31197",2
"gridscale GmbH AS29423",2
"UUNET AS701",2
"Opin Kerfi hf AS48685",2
"Astutium Limited AS29527",2
"WESTHOST AS29854",2
"CJ2 Hosting B.V. AS39704",2
"Forss Webservice AB AS43809",2
"NETINF-PRIMARY-AS AS397270",2
"Locaweb Servicos de Internet S/A AS27715",2
"Oracle Svenska AB AS43898",2
"Wieske's Crew GmbH AS13135",2
"Mihos B.V AS200831",2
"Fouredge AB AS48220",2
"RACKSPACE AS27357",2
"Sedinkin Olexandr Valeriyovuch AS56485",2
"INGR-ASN AS6591",2
"Tilde SIA AS56454",2
"LiveSport s.r.o. AS52130",2
"Anchnet Asia Limited AS137443",2
"managedhosting.de GmbH AS62310",2
"i-Wet Ltd. AS29122",2
